cliente_id,codigo,genero,pais,fecha_registro
341,CL00000341,M,ES,2024-12-02
342,CL00000342,F,ES,2025-06-15
343,CL00000343,M,ES,2024-11-27
344,CL00000344,M,ES,2025-09-24
345,CL00000345,F,ES,2025-08-07
346,CL00000346,M,ES,2025-06-29
347,CL00000347,M,ES,2025-06-27
348,CL00000348,F,IT,2024-12-03
349,CL00000349,F,IT,2025-01-30
350,CL00000350,M,ES,2025-04-07
351,CL00000351,M,IT,2025-04-17
352,CL00000352,M,ES,2025-10-30
353,CL00000353,F,ES,2025-04-06
354,CL00000354,F,PT,2025-08-15
355,CL00000355,M,ES,2025-10-05
356,CL00000356,F,ES,2025-11-02
357,CL00000357,F,PT,2025-09-14
358,CL00000358,F,ES,2025-02-16
359,CL00000359,M,ES,2025-01-04
360,CL00000360,F,ES,2025-02-14
361,CL00000361,M,ES,2025-08-02
362,CL00000362,M,ES,2024-12-25
363,CL00000363,M,PT,2025-07-06
364,CL00000364,M,ES,2025-04-11
365,CL00000365,M,ES,2024-11-24
366,CL00000366,M,ES,2025-07-13
367,CL00000367,M,ES,2025-06-21
368,CL00000368,M,ES,2025-10-07
369,CL00000369,M,ES,2025-10-19
370,CL00000370,F,ES,2025-06-09
371,CL00000371,M,ES,2025-07-30
372,CL00000372,M,ES,2024-12-31
373,CL00000373,M,ES,2024-12-27
374,CL00000374,M,ES,2025-03-01
375,CL00000375,M,ES,2025-05-30
376,CL00000376,M,ES,2025-06-28
377,CL00000377,F,ES,2024-12-23
378,CL00000378,F,ES,2025-07-20
379,CL00000379,M,ES,2025-10-29
380,CL00000380,M,ES,2025-07-20
381,CL00000381,F,PT,2024-11-13
382,CL00000382,F,ES,2025-01-25
383,CL00000383,F,ES,2025-01-05
384,CL00000384,M,PT,2025-03-25
385,CL00000385,M,PT,2025-05-02
386,CL00000386,M,ES,2025-09-11
387,CL00000387,F,PT,2024-12-02
388,CL00000388,F,ES,2025-07-21
389,CL00000389,M,ES,2025-05-31
390,CL00000390,F,ES,2025-07-15
391,CL00000391,M,ES,2025-03-24
392,CL00000392,M,ES,2025-09-22
393,CL00000393,F,ES,2025-06-04
394,CL00000394,M,ES,2025-03-08
395,CL00000395,F,ES,2025-08-07
396,CL00000396,M,ES,2025-05-22
397,CL00000397,F,ES,2025-08-14
398,CL00000398,F,PT,2025-02-02
399,CL00000399,F,ES,2024-12-27
400,CL00000400,M,ES,2024-11-08
401,CL00000401,M,ES,2024-12-18
402,CL00000402,F,ES,2025-01-25
403,CL00000403,F,ES,2025-01-30
404,CL00000404,F,ES,2025-08-22
405,CL00000405,F,IT,2025-08-14
406,CL00000406,M,ES,2025-10-14
407,CL00000407,F,ES,2025-08-11
408,CL00000408,M,PT,2025-05-01
409,CL00000409,M,ES,2025-04-13
410,CL00000410,M,ES,2025-03-10
411,CL00000411,M,PT,2025-02-28
412,CL00000412,M,PT,2025-03-17
413,CL00000413,F,ES,2025-11-04
414,CL00000414,F,ES,2024-11-28
415,CL00000415,M,ES,2025-03-07
416,CL00000416,F,PT,2025-05-11
417,CL00000417,F,ES,2025-09-23
418,CL00000418,M,ES,2025-02-04
419,CL00000419,F,IT,2025-01-24
420,CL00000420,M,ES,2025-08-18
421,CL00000421,F,ES,2024-12-16
422,CL00000422,F,ES,2025-05-30
423,CL00000423,M,ES,2025-09-08
424,CL00000424,F,PT,2025-07-04
425,CL00000425,F,ES,2025-03-21
426,CL00000426,M,ES,2024-12-26
427,CL00000427,F,ES,2025-01-10
428,CL00000428,F,ES,2025-07-16
429,CL00000429,F,ES,2025-05-10
430,CL00000430,F,ES,2024-12-14
431,CL00000431,M,ES,2025-02-24
432,CL00000432,F,ES,2025-04-19
433,CL00000433,F,ES,2025-04-01
434,CL00000434,F,ES,2025-08-31
435,CL00000435,F,ES,2025-02-08
436,CL00000436,F,ES,2025-10-26
437,CL00000437,M,ES,2025-02-07
438,CL00000438,F,ES,2025-07-21
439,CL00000439,F,ES,2025-01-05
440,CL00000440,F,ES,2024-12-30
441,CL00000441,M,ES,2025-10-24
442,CL00000442,F,PT,2025-01-08
443,CL00000443,M,ES,2025-02-27
444,CL00000444,F,PT,2025-07-08
445,CL00000445,M,ES,2025-08-12
446,CL00000446,F,ES,2025-09-05
447,CL00000447,F,PT,2025-05-31
448,CL00000448,M,ES,2025-06-29
449,CL00000449,M,ES,2025-08-18
450,CL00000450,F,ES,2025-05-02
451,CL00000451,M,ES,2025-02-22
452,CL00000452,F,IT,2025-07-25
453,CL00000453,M,ES,2024-11-10
454,CL00000454,M,ES,2025-01-10
455,CL00000455,M,ES,2024-12-26
456,CL00000456,F,ES,2025-07-10
457,CL00000457,F,ES,2025-04-06
458,CL00000458,F,ES,2024-12-05
459,CL00000459,F,ES,2025-10-04
460,CL00000460,M,ES,2025-05-17
461,CL00000461,F,PT,2025-07-10
462,CL00000462,M,PT,2024-12-26
463,CL00000463,F,ES,2025-10-14
464,CL00000464,M,ES,2025-07-09
465,CL00000465,F,PT,2025-10-02
466,CL00000466,F,ES,2024-12-07
467,CL00000467,M,ES,2025-05-11
468,CL00000468,M,ES,2024-12-11
469,CL00000469,F,ES,2024-12-02
470,CL00000470,M,ES,2025-08-19
471,CL00000471,M,ES,2025-04-01
472,CL00000472,M,ES,2025-03-20
473,CL00000473,M,ES,2025-09-29
474,CL00000474,M,PT,2025-10-29
475,CL00000475,M,ES,2025-09-06
476,CL00000476,F,PT,2025-02-08
477,CL00000477,F,ES,2025-02-05
478,CL00000478,M,ES,2024-12-18
479,CL00000479,M,PT,2025-07-22
480,CL00000480,F,PT,2025-10-01
481,CL00000481,M,ES,2025-07-28
482,CL00000482,F,ES,2025-09-29
483,CL00000483,M,ES,2025-06-23
484,CL00000484,F,ES,2025-09-08
485,CL00000485,F,ES,2025-06-08
486,CL00000486,M,ES,2025-02-10
487,CL00000487,F,ES,2025-01-02
488,CL00000488,F,PT,2025-09-05
489,CL00000489,M,ES,2024-12-02
490,CL00000490,F,ES,2025-10-25
491,CL00000491,F,ES,2025-04-28
492,CL00000492,M,ES,2025-01-23
493,CL00000493,F,ES,2025-03-24
494,CL00000494,M,ES,2025-08-02
495,CL00000495,F,ES,2025-09-03
496,CL00000496,M,PT,2024-12-06
497,CL00000497,M,ES,2025-04-01
498,CL00000498,F,ES,2025-10-24
499,CL00000499,F,ES,2025-11-05
500,CL00000500,F,ES,2025-05-10
501,CL00000501,F,ES,2025-01-06
502,CL00000502,M,IT,2025-09-27
503,CL00000503,M,ES,2025-09-26
504,CL00000504,M,ES,2025-09-14
505,CL00000505,M,ES,2025-06-03
506,CL00000506,F,ES,2024-11-30
507,CL00000507,M,ES,2025-07-14
508,CL00000508,F,ES,2025-01-09
509,CL00000509,M,PT,2025-03-31
510,CL00000510,M,ES,2025-01-21
511,CL00000511,M,ES,2024-11-19
512,CL00000512,M,PT,2025-10-13
513,CL00000513,F,ES,2025-04-27
514,CL00000514,F,ES,2025-06-25
515,CL00000515,M,ES,2025-06-10
516,CL00000516,M,ES,2025-01-06
517,CL00000517,F,ES,2025-10-17
518,CL00000518,F,PT,2025-03-28
519,CL00000519,F,IT,2024-12-12
520,CL00000520,M,ES,2025-09-18
521,CL00000521,F,ES,2025-05-03
522,CL00000522,F,PT,2025-03-14
523,CL00000523,F,ES,2025-03-26
524,CL00000524,F,PT,2025-07-28
525,CL00000525,F,ES,2025-09-22
526,CL00000526,M,ES,2025-01-04
527,CL00000527,M,ES,2024-11-28
528,CL00000528,F,IT,2025-06-11
529,CL00000529,F,ES,2024-11-09
530,CL00000530,F,ES,2025-08-20
531,CL00000531,M,ES,2025-03-23
532,CL00000532,F,IT,2025-07-15
533,CL00000533,F,ES,2025-05-18
534,CL00000534,F,ES,2024-11-23
535,CL00000535,F,PT,2025-05-21
536,CL00000536,F,ES,2025-04-05
537,CL00000537,M,ES,2025-02-27
538,CL00000538,M,IT,2025-05-10
539,CL00000539,F,ES,2025-04-12
540,CL00000540,M,ES,2025-11-04
541,CL00000541,F,ES,2025-01-09
542,CL00000542,M,ES,2025-09-14
543,CL00000543,F,ES,2025-07-08
544,CL00000544,F,PT,2025-09-27
545,CL00000545,F,ES,2024-12-29
546,CL00000546,F,ES,2025-06-21
547,CL00000547,M,ES,2025-08-06
548,CL00000548,M,ES,2024-11-25
549,CL00000549,M,PT,2025-03-19
550,CL00000550,M,ES,2025-04-30
551,CL00000551,F,ES,2025-05-16
552,CL00000552,M,ES,2025-10-07
553,CL00000553,M,PT,2025-06-29
554,CL00000554,M,ES,2025-06-25
555,CL00000555,M,PT,2025-05-27
556,CL00000556,M,ES,2025-02-23
557,CL00000557,F,ES,2025-03-12
558,CL00000558,F,PT,2025-08-08
559,CL00000559,M,IT,2024-11-14
560,CL00000560,M,PT,2025-06-09
561,CL00000561,M,ES,2025-01-11
562,CL00000562,F,ES,2025-07-31
563,CL00000563,M,ES,2024-12-07
564,CL00000564,F,ES,2025-03-28
565,CL00000565,F,ES,2025-08-02
566,CL00000566,M,PT,2025-03-17
567,CL00000567,M,ES,2025-10-16
568,CL00000568,M,ES,2025-02-12
569,CL00000569,F,ES,2025-04-13
570,CL00000570,F,ES,2025-02-05
571,CL00000571,F,ES,2025-09-12
572,CL00000572,M,PT,2025-05-30
573,CL00000573,F,ES,2025-02-19
574,CL00000574,F,PT,2025-03-04
575,CL00000575,M,ES,2025-03-18
576,CL00000576,F,ES,2025-10-07
577,CL00000577,M,IT,2025-10-17
578,CL00000578,F,ES,2025-10-13
579,CL00000579,F,ES,2025-02-13
580,CL00000580,F,ES,2025-02-20
581,CL00000581,F,ES,2025-10-23
582,CL00000582,M,ES,2025-11-05
583,CL00000583,M,ES,2024-11-06
584,CL00000584,M,ES,2025-03-09
585,CL00000585,F,ES,2025-05-18
586,CL00000586,F,ES,2025-01-21
587,CL00000587,F,ES,2025-07-01
588,CL00000588,M,ES,2025-10-28
589,CL00000589,M,ES,2024-12-28
590,CL00000590,F,ES,2025-03-24
591,CL00000591,F,ES,2025-08-30
592,CL00000592,F,ES,2025-05-19
593,CL00000593,F,ES,2025-03-01
594,CL00000594,F,ES,2025-05-09
595,CL00000595,F,ES,2025-01-04
596,CL00000596,F,ES,2025-06-09
597,CL00000597,M,ES,2025-03-30
598,CL00000598,F,ES,2025-06-28
599,CL00000599,F,ES,2025-02-28
600,CL00000600,F,ES,2025-04-05
601,CL00000601,F,ES,2025-07-19
602,CL00000602,M,ES,2025-03-05
603,CL00000603,F,ES,2025-07-30
604,CL00000604,M,ES,2024-12-04
605,CL00000605,F,IT,2025-04-29
606,CL00000606,M,ES,2025-01-16
607,CL00000607,F,ES,2025-08-16
608,CL00000608,M,ES,2025-07-25
609,CL00000609,M,ES,2025-04-29
610,CL00000610,F,ES,2025-09-20
611,CL00000611,M,ES,2024-12-16
612,CL00000612,F,ES,2025-09-22
613,CL00000613,M,ES,2025-04-19
614,CL00000614,M,ES,2025-02-16
615,CL00000615,M,ES,2025-06-30
616,CL00000616,M,ES,2025-06-03
617,CL00000617,M,ES,2025-04-27
618,CL00000618,F,ES,2024-12-02
619,CL00000619,M,ES,2025-08-10
620,CL00000620,M,PT,2025-03-28
621,CL00000621,M,ES,2025-05-28
622,CL00000622,F,ES,2025-02-08
623,CL00000623,F,ES,2025-08-21
624,CL00000624,M,ES,2025-01-10
625,CL00000625,M,ES,2025-07-06
626,CL00000626,M,ES,2025-03-17
627,CL00000627,M,ES,2025-01-04
628,CL00000628,M,ES,2025-08-03
629,CL00000629,F,PT,2025-09-27
630,CL00000630,M,ES,2025-01-12
631,CL00000631,M,ES,2025-06-16
632,CL00000632,F,ES,2025-10-07
633,CL00000633,F,ES,2025-02-19
634,CL00000634,M,ES,2025-04-12
635,CL00000635,M,ES,2025-05-03
636,CL00000636,M,ES,2025-04-15
637,CL00000637,M,ES,2025-06-06
638,CL00000638,M,ES,2025-10-07
639,CL00000639,F,ES,2025-06-19
640,CL00000640,M,ES,2024-12-19
641,CL00000641,F,ES,2025-07-20
642,CL00000642,F,ES,2025-06-06
643,CL00000643,M,PT,2025-05-30
644,CL00000644,M,ES,2025-02-07
645,CL00000645,M,ES,2025-03-12
646,CL00000646,M,ES,2025-10-29
647,CL00000647,F,PT,2025-07-24
648,CL00000648,F,ES,2025-05-24
649,CL00000649,M,ES,2025-06-01
650,CL00000650,M,ES,2025-01-28
651,CL00000651,F,ES,2025-01-18
652,CL00000652,F,PT,2025-05-23
653,CL00000653,M,ES,2024-11-11
654,CL00000654,M,ES,2025-05-31
655,CL00000655,M,ES,2025-04-02
656,CL00000656,M,ES,2025-07-05
657,CL00000657,F,PT,2024-12-07
658,CL00000658,M,ES,2025-07-02
659,CL00000659,M,ES,2025-05-13
660,CL00000660,M,ES,2025-07-17
661,CL00000661,M,PT,2025-03-16
662,CL00000662,M,PT,2025-08-03
663,CL00000663,F,PT,2024-11-13
664,CL00000664,M,ES,2025-06-01
665,CL00000665,F,PT,2025-05-20
666,CL00000666,F,ES,2025-05-15
667,CL00000667,M,ES,2025-03-01
668,CL00000668,M,ES,2025-11-02
669,CL00000669,F,IT,2025-01-15
670,CL00000670,F,ES,2025-09-23
671,CL00000671,M,ES,2025-04-05
672,CL00000672,M,ES,2025-02-08
673,CL00000673,M,ES,2025-05-21
674,CL00000674,F,ES,2025-06-19
675,CL00000675,F,ES,2025-03-03
676,CL00000676,M,ES,2025-05-05
677,CL00000677,M,ES,2025-03-14
678,CL00000678,M,ES,2025-03-06
679,CL00000679,F,ES,2025-07-02
680,CL00000680,M,ES,2024-11-27
681,CL00000681,M,ES,2025-11-01
682,CL00000682,M,ES,2025-08-16
683,CL00000683,F,ES,2025-08-23
684,CL00000684,M,ES,2025-03-25
685,CL00000685,M,ES,2025-06-28
686,CL00000686,F,ES,2025-10-25
687,CL00000687,F,ES,2024-11-09
688,CL00000688,F,ES,2025-07-01
689,CL00000689,M,ES,2024-11-22
690,CL00000690,M,ES,2025-07-21
691,CL00000691,M,ES,2025-06-21
692,CL00000692,M,ES,2025-06-29
693,CL00000693,F,ES,2025-11-05
694,CL00000694,F,PT,2025-04-23
695,CL00000695,F,ES,2025-06-29
696,CL00000696,F,PT,2025-04-13
