mov_id,fecha,ingrediente_id,tipo,cantidad,costo_unitario,proveedor_id
254,2025-01-16,485,salida,0.69,3.6,172
255,2025-06-11,243,entrada,1.87,8.04,89
256,2024-12-06,145,salida,3.94,7.84,138
257,2025-09-21,307,salida,2.55,2.26,11
258,2025-02-18,162,entrada,0.42,4.94,107
259,2025-03-26,18,entrada,4.22,1.27,7
260,2025-03-01,381,entrada,1.27,9.33,156
261,2025-05-22,352,entrada,0.39,2.2,179
262,2025-03-28,25,entrada,4.15,6.38,73
263,2025-07-01,24,entrada,3.31,5.37,43
264,2025-02-25,79,salida,2.89,1.86,16
265,2025-05-12,497,entrada,3.35,4.9,33
266,2025-03-27,30,salida,4.3,9.03,82
267,2025-06-25,430,salida,0.46,1.23,161
268,2024-12-18,185,salida,4.09,1.81,48
269,2025-06-06,490,salida,0.43,7.72,83
270,2025-04-14,234,salida,2.26,4.58,49
271,2025-05-20,216,entrada,1.85,5.05,20
272,2025-01-31,314,entrada,3.77,9.46,75
273,2025-01-11,270,salida,3.52,8.73,84
274,2025-06-04,2,entrada,3.46,5.3,151
275,2025-06-28,407,entrada,1.87,8.81,71
276,2025-09-15,88,entrada,4.05,6.76,189
277,2025-03-15,417,salida,3.92,9.53,97
278,2025-05-22,317,salida,3.82,4.72,189
279,2024-11-28,71,entrada,0.13,9.33,24
280,2025-04-08,195,salida,3.92,8.1,150
281,2025-08-17,361,entrada,3.69,7.21,35
282,2024-12-03,135,salida,3.81,6.71,47
283,2025-08-20,217,salida,0.39,9.0,34
284,2025-07-05,71,salida,3.67,1.65,26
285,2024-12-19,88,salida,1.38,0.22,145
286,2025-09-21,497,salida,3.11,7.76,193
287,2025-02-26,54,salida,1.18,7.1,48
288,2025-07-12,403,entrada,1.38,1.1,177
289,2025-07-17,310,salida,3.0,3.88,111
290,2025-05-04,466,salida,2.91,0.63,48
291,2025-01-15,193,salida,0.83,3.4,34
292,2025-03-26,485,entrada,0.61,5.12,148
293,2025-09-19,36,salida,4.65,2.19,31
294,2025-07-14,223,entrada,2.02,0.85,85
295,2025-07-23,149,entrada,4.76,6.21,195
296,2025-04-17,249,salida,4.23,0.8,52
297,2025-03-08,61,entrada,1.74,7.2,38
298,2024-12-11,257,salida,1.19,7.79,96
299,2024-11-16,79,salida,2.53,5.97,22
300,2025-03-17,369,entrada,3.24,5.92,73
301,2025-04-01,361,salida,3.1,9.66,100
302,2025-05-31,236,salida,3.56,9.14,115
303,2025-02-26,357,salida,2.34,0.89,179
304,2025-01-29,371,salida,0.86,9.43,169
305,2024-12-31,157,entrada,1.62,0.28,105
306,2025-08-11,203,entrada,2.88,1.45,33
307,2024-12-24,448,entrada,2.45,7.93,50
308,2025-07-21,307,salida,3.56,9.1,105
309,2024-12-22,49,entrada,1.77,1.25,122
310,2025-09-23,24,salida,3.63,7.37,161
311,2025-03-14,83,salida,4.47,3.75,13
312,2025-02-27,17,salida,1.78,7.92,120
313,2025-09-24,145,salida,3.33,6.86,103
314,2025-02-25,480,entrada,4.23,7.45,199
315,2025-09-24,219,salida,3.84,2.8,22
316,2025-05-01,498,salida,2.36,5.01,49
317,2025-02-26,180,salida,4.68,4.28,122
318,2025-01-10,12,salida,0.11,4.11,20
319,2025-01-22,130,entrada,3.72,9.07,42
320,2025-01-29,229,salida,0.15,1.41,85
321,2025-05-07,169,salida,0.11,4.09,74
322,2025-08-01,81,salida,4.07,0.99,189
323,2024-11-12,369,salida,3.77,7.43,47
324,2024-12-25,27,salida,3.75,8.5,72
325,2025-03-07,345,salida,0.43,0.92,192
326,2025-06-30,36,entrada,3.2,2.14,25
327,2025-01-25,109,salida,4.06,2.12,109
328,2024-12-13,373,salida,3.14,4.4,157
329,2024-11-13,115,salida,2.25,1.46,2
330,2025-02-27,54,entrada,4.42,1.45,56
331,2025-03-05,171,salida,4.58,9.49,58
332,2024-12-04,483,entrada,1.32,6.72,192
333,2025-08-23,473,entrada,1.12,7.96,55
334,2025-02-03,469,salida,3.04,5.9,49
335,2025-06-11,129,salida,4.61,4.04,166
336,2024-11-26,220,entrada,0.36,6.58,26
337,2025-10-11,492,entrada,0.32,2.81,38
338,2025-02-05,436,entrada,2.26,1.81,185
339,2025-03-10,1,salida,4.37,9.98,113
340,2025-08-07,41,salida,2.59,3.34,23
341,2025-04-12,412,salida,2.76,6.95,185
342,2025-05-05,479,salida,1.95,7.18,76
343,2025-03-25,41,entrada,4.75,9.11,121
344,2025-08-10,328,entrada,3.54,8.02,110
345,2024-12-02,136,entrada,3.17,1.21,168
346,2025-11-02,19,entrada,3.99,1.41,161
347,2025-03-15,444,entrada,4.0,7.19,139
348,2025-10-08,341,salida,0.93,2.08,67
349,2024-11-14,194,salida,2.18,10.14,69
350,2025-07-23,425,entrada,4.86,8.57,99
351,2025-06-24,36,salida,0.24,1.74,179
352,2025-08-30,469,entrada,3.26,4.86,51
353,2024-12-21,489,salida,0.64,0.36,91
354,2025-11-01,164,salida,5.0,2.8,150
355,2025-06-22,200,entrada,1.73,4.88,149
356,2024-11-08,452,salida,1.76,9.99,2
357,2024-12-10,434,salida,4.71,5.09,181
358,2025-04-04,38,entrada,2.33,0.65,42
359,2025-06-03,443,salida,2.49,3.89,124
360,2025-01-31,161,salida,4.18,9.52,28
361,2024-11-25,187,salida,3.81,5.72,163
362,2025-05-19,255,salida,3.49,1.8,33
363,2025-07-26,189,salida,4.13,1.49,102
364,2024-11-14,232,salida,4.37,2.83,121
365,2025-01-25,485,entrada,4.53,6.07,8
366,2025-07-18,301,salida,0.54,8.16,165
367,2025-08-20,356,entrada,3.8,5.42,95
368,2025-05-01,155,salida,0.21,8.35,187
369,2025-10-30,384,salida,2.61,3.08,112
370,2025-05-25,383,entrada,3.21,9.43,147
371,2025-10-10,333,entrada,4.26,4.81,74
372,2025-04-09,161,entrada,1.04,4.1,27
373,2025-03-08,153,entrada,2.42,1.11,166
374,2025-01-08,156,entrada,2.19,2.75,10
375,2025-01-22,499,entrada,0.1,5.29,192
376,2025-02-14,197,salida,4.92,4.25,3
377,2025-10-07,185,entrada,1.35,7.92,87
378,2025-09-10,387,entrada,0.29,4.78,142
379,2025-03-20,293,entrada,2.75,0.39,140
380,2025-07-07,92,entrada,4.94,3.79,88
381,2025-01-26,28,entrada,2.54,3.16,63
382,2025-07-27,66,salida,5.06,8.3,178
383,2024-11-15,469,entrada,5.08,5.89,87
384,2024-12-27,360,entrada,5.01,9.78,80
385,2024-12-25,82,salida,4.57,2.24,6
386,2025-10-03,326,entrada,4.36,8.48,116
387,2025-08-02,303,entrada,1.46,10.06,137
388,2025-06-15,29,entrada,3.27,7.73,184
389,2025-04-08,378,salida,3.5,5.66,94
390,2025-05-05,482,salida,4.61,0.78,136
391,2025-02-20,105,entrada,1.98,6.24,72
392,2025-05-12,221,entrada,4.84,0.9,51
393,2025-08-28,246,salida,1.55,5.19,188
394,2024-11-26,379,salida,2.04,9.38,22
395,2024-12-21,345,salida,1.42,1.69,197
396,2025-03-16,339,entrada,2.09,8.66,149
397,2025-10-08,316,entrada,2.48,0.5,195
398,2025-03-03,423,entrada,0.42,0.41,83
399,2025-09-22,412,salida,1.63,0.9,13
400,2025-09-01,54,salida,0.15,4.65,90
401,2025-07-16,73,salida,1.71,5.91,91
402,2025-06-16,468,entrada,3.84,5.22,114
403,2025-01-31,322,entrada,0.39,2.24,90
404,2024-11-10,22,salida,1.84,9.06,7
405,2025-09-10,240,salida,1.78,4.15,162
406,2024-12-13,398,salida,1.09,8.34,29
407,2025-01-28,355,salida,1.63,2.14,123
408,2025-06-05,91,entrada,1.48,9.71,151
409,2024-12-11,182,salida,4.15,8.9,119
410,2025-02-10,128,salida,5.02,4.6,172
411,2025-06-01,258,entrada,2.87,9.32,132
412,2025-01-22,324,salida,2.78,4.07,127
413,2025-10-09,400,salida,1.43,1.29,1
414,2025-09-16,164,salida,3.71,0.71,87
415,2025-04-18,343,entrada,0.73,6.09,40
416,2025-09-26,458,salida,4.7,5.93,55
417,2024-12-19,70,entrada,3.56,8.62,186
418,2025-09-04,245,entrada,1.75,8.61,83
419,2025-04-26,370,entrada,4.48,4.13,96
420,2025-01-06,80,entrada,1.76,0.91,178
421,2025-07-31,18,salida,0.19,5.51,69
422,2025-10-11,12,salida,2.44,3.51,19
423,2025-08-10,45,salida,3.38,6.56,78
424,2025-08-22,271,salida,1.7,9.29,150
425,2025-10-01,111,salida,2.29,4.27,128
426,2024-12-08,471,salida,3.12,6.84,194
427,2025-01-22,323,entrada,0.51,7.95,141
428,2025-05-29,148,salida,0.22,8.96,22
429,2025-02-12,498,salida,0.96,3.2,161
430,2025-04-25,345,salida,2.26,6.09,74
431,2025-08-15,119,salida,0.24,8.02,87
432,2025-02-23,30,salida,1.94,3.92,161
433,2025-08-14,424,salida,2.19,5.86,14
434,2025-05-22,230,entrada,2.66,8.92,145
435,2025-08-02,324,salida,2.99,1.53,23
436,2025-06-08,343,entrada,4.27,8.97,158
437,2025-07-12,365,entrada,4.7,0.24,49
438,2025-04-16,419,salida,2.18,6.0,95
439,2025-03-08,360,entrada,3.11,1.39,151
440,2025-06-17,268,salida,3.24,8.1,182
441,2025-09-06,51,salida,3.76,0.87,190
442,2025-03-22,265,entrada,4.11,4.89,179
443,2025-10-02,118,entrada,3.74,9.56,92
444,2025-10-21,293,salida,3.68,4.69,169
445,2025-01-21,157,salida,1.96,1.84,25
446,2025-06-29,489,salida,3.62,4.34,146
447,2025-10-18,129,salida,3.19,10.0,187
448,2025-02-07,339,salida,2.1,10.19,193
449,2025-05-02,33,entrada,2.57,0.61,92
450,2025-03-11,157,salida,0.24,3.7,160
451,2025-03-17,328,entrada,5.01,0.24,121
452,2025-09-22,128,entrada,1.81,6.51,74
453,2025-04-17,359,entrada,4.92,8.36,47
454,2025-09-12,33,salida,4.76,8.45,66
455,2025-09-11,146,salida,0.15,2.82,80
456,2025-03-28,317,entrada,0.13,7.59,30
457,2025-09-01,253,salida,2.37,4.79,15
458,2025-09-09,457,entrada,3.24,2.58,199
459,2025-09-05,248,salida,2.72,0.4,86
460,2025-01-06,219,entrada,2.73,9.27,88
461,2025-01-02,166,salida,4.11,4.62,38
462,2025-04-03,331,salida,1.97,3.11,164
463,2024-12-25,105,entrada,4.26,1.16,75
464,2025-07-22,113,salida,2.15,4.81,67
465,2025-10-01,325,salida,3.84,9.09,94
466,2025-09-21,228,entrada,3.48,3.19,98
467,2025-07-27,73,salida,2.86,0.82,182
468,2025-02-12,177,salida,1.35,1.13,24
469,2025-02-10,81,entrada,0.46,3.93,183
470,2025-08-22,376,salida,2.67,8.77,153
471,2024-11-30,461,salida,0.71,6.3,13
472,2025-02-05,230,salida,4.7,2.02,150
473,2025-01-30,120,salida,0.81,8.53,18
474,2025-11-03,418,entrada,5.04,8.34,21
475,2025-03-07,176,salida,3.6,7.66,1
476,2025-10-11,336,entrada,3.24,5.86,11
477,2024-12-26,25,salida,2.86,2.68,33
478,2025-05-13,53,salida,3.52,3.35,91
479,2025-01-26,297,salida,4.54,5.36,180
480,2025-03-02,276,salida,0.34,9.35,121
481,2025-04-21,119,entrada,0.14,3.5,30
482,2025-02-06,241,entrada,0.54,8.36,111
483,2025-02-25,294,entrada,2.15,2.66,122
484,2025-03-08,60,entrada,1.36,3.51,43
485,2025-06-16,457,entrada,0.66,7.07,123
486,2025-09-27,208,salida,1.99,5.41,147
487,2025-04-19,193,salida,2.63,6.28,17
488,2025-09-20,331,salida,0.5,3.99,80
489,2025-07-20,141,salida,0.65,3.53,158
490,2025-07-12,397,entrada,0.72,2.53,96
491,2025-01-14,400,entrada,3.41,8.75,69
492,2025-10-25,457,salida,4.45,1.27,180
493,2025-10-10,244,salida,4.41,9.5,91
494,2025-09-10,108,salida,1.09,6.21,38
495,2025-10-07,112,entrada,2.26,0.29,197
496,2025-04-26,290,salida,0.91,5.06,22
497,2025-01-21,147,salida,2.81,6.83,18
498,2025-04-06,276,entrada,3.15,6.45,170
499,2025-02-02,172,salida,0.82,5.13,20
500,2025-04-06,208,salida,1.7,1.47,146
501,2025-10-26,47,salida,4.21,0.41,52
502,2025-04-19,35,salida,2.72,6.18,52
503,2025-01-23,231,entrada,0.2,5.87,65
504,2025-04-29,313,salida,4.26,6.09,120
505,2025-10-05,371,salida,4.32,7.34,152
506,2024-11-24,248,entrada,3.16,9.17,163
507,2025-07-15,448,salida,4.09,5.15,2
508,2024-12-16,14,salida,3.84,7.62,80
509,2025-02-26,20,entrada,3.36,5.91,1
510,2025-08-24,163,salida,4.06,3.35,151
511,2025-01-23,374,entrada,2.8,4.89,161
512,2024-11-25,215,salida,3.98,0.68,122
513,2024-11-22,156,entrada,3.82,9.41,17
514,2025-10-31,488,salida,2.38,5.3,83
515,2025-11-02,210,entrada,0.73,3.02,194
516,2025-10-15,452,entrada,1.14,8.73,42
517,2025-06-19,294,entrada,2.54,4.76,54
518,2025-09-26,76,entrada,1.98,3.0,48
519,2025-02-01,227,salida,4.47,7.89,20
520,2025-10-31,392,salida,2.8,4.5,98
521,2024-11-30,264,salida,1.91,9.13,110
522,2025-09-06,60,salida,3.43,4.62,140
523,2025-07-03,469,salida,4.85,5.89,97
524,2025-01-24,366,salida,3.62,8.07,47
525,2024-11-19,388,salida,1.98,8.51,79
526,2025-01-05,382,salida,2.69,5.96,48
527,2025-06-27,243,entrada,0.86,4.89,198
528,2025-07-12,152,salida,3.82,0.46,0
529,2025-07-29,300,salida,3.26,0.42,28
530,2025-05-27,138,entrada,1.16,7.57,25
531,2025-09-08,75,entrada,4.57,8.49,134
532,2025-09-11,432,salida,4.36,4.1,118
533,2025-09-02,249,salida,3.4,6.21,28
534,2025-01-06,480,salida,1.08,3.42,101
535,2025-01-29,352,entrada,4.77,3.84,37
536,2025-07-02,361,salida,4.84,1.94,118
537,2025-09-13,472,entrada,1.97,1.55,103
538,2024-11-08,262,salida,2.72,3.99,118
539,2025-09-19,194,salida,0.35,9.14,60
540,2025-01-27,60,entrada,4.32,7.04,108
541,2024-12-18,30,entrada,1.72,7.96,134
542,2025-04-03,136,salida,3.34,1.97,25
543,2024-11-18,449,salida,2.76,6.45,109
544,2025-05-05,294,entrada,1.81,6.49,197
545,2025-10-22,395,entrada,1.66,5.22,129
546,2024-12-20,122,salida,2.97,7.64,35
547,2024-12-14,159,salida,2.06,0.54,19
548,2025-10-27,412,salida,1.59,5.31,10
549,2025-06-01,34,salida,0.7,9.73,51
550,2025-08-17,478,salida,3.96,5.78,26
551,2025-01-12,208,salida,4.2,8.54,37
552,2025-03-16,406,entrada,0.16,6.07,149
553,2025-09-25,130,salida,4.56,8.56,14
554,2025-09-07,191,salida,3.05,1.47,155
555,2025-05-02,405,entrada,2.81,2.35,113
556,2025-10-17,181,salida,3.49,6.55,18
557,2025-05-30,417,entrada,4.17,0.57,89
558,2025-03-22,69,salida,3.09,7.86,0
559,2025-07-01,200,salida,4.12,6.69,111
560,2025-02-23,203,entrada,1.22,9.24,60
561,2025-03-19,492,entrada,2.19,7.8,189
562,2025-03-29,72,salida,2.83,0.41,115
563,2024-11-27,31,entrada,3.0,3.93,82
564,2024-11-29,139,entrada,3.88,6.21,148
565,2025-02-10,463,salida,1.81,1.8,45
566,2025-04-20,495,entrada,0.46,3.32,178
567,2025-07-03,234,entrada,1.78,6.62,187
568,2025-01-15,44,salida,0.75,2.91,100
569,2024-11-15,354,entrada,1.02,7.58,94
