plato_id,ingrediente_id,cantidad_receta
40,197,0.268
40,39,0.48
40,472,0.576
40,341,0.423
41,250,0.307
41,332,0.48
41,487,0.537
42,426,0.409
42,57,0.404
42,272,0.207
43,314,0.45
43,474,0.32
43,431,0.466
43,396,0.564
43,497,0.475
43,193,0.321
44,446,0.475
44,367,0.455
44,86,0.202
44,74,0.523
44,80,0.241
44,122,0.496
45,55,0.11
45,61,0.587
45,267,0.211
45,146,0.432
46,269,0.238
46,2,0.455
46,50,0.482
46,463,0.465
46,435,0.51
46,320,0.552
47,193,0.498
47,85,0.324
47,262,0.155
47,456,0.358
48,351,0.587
48,318,0.448
48,133,0.346
49,31,0.173
49,440,0.311
49,286,0.125
50,337,0.457
50,469,0.565
50,129,0.459
50,273,0.389
51,305,0.221
51,476,0.419
51,53,0.182
51,98,0.242
51,159,0.491
51,68,0.33
52,95,0.41
52,395,0.369
52,92,0.381
53,275,0.301
53,418,0.113
53,35,0.338
53,137,0.321
53,242,0.478
53,229,0.24
54,308,0.325
54,144,0.383
54,228,0.458
54,35,0.511
55,42,0.464
55,284,0.572
56,27,0.477
56,260,0.265
56,41,0.245
57,160,0.334
57,306,0.483
57,494,0.523
58,273,0.378
58,294,0.16
58,181,0.327
58,1,0.328
58,346,0.369
58,14,0.417
58,230,0.579
59,470,0.441
59,485,0.326
59,386,0.162
59,183,0.424
59,145,0.379
59,430,0.291
60,148,0.197
60,329,0.362
60,91,0.158
61,185,0.264
61,437,0.134
61,238,0.596
61,18,0.44
61,154,0.563
61,431,0.271
61,451,0.424
62,114,0.129
62,259,0.354
63,140,0.541
63,411,0.37
63,55,0.261
63,395,0.374
63,344,0.209
64,474,0.444
64,46,0.311
64,290,0.564
64,444,0.332
64,378,0.115
64,401,0.34
64,277,0.498
65,350,0.452
65,192,0.273
65,104,0.265
65,329,0.235
66,247,0.227
66,160,0.599
66,1,0.278
66,98,0.293
67,111,0.591
67,222,0.178
68,183,0.587
68,420,0.568
68,350,0.421
68,488,0.109
68,18,0.474
68,193,0.268
69,98,0.256
69,474,0.556
69,446,0.301
69,305,0.417
70,133,0.295
70,138,0.149
70,303,0.254
70,442,0.549
71,71,0.192
71,77,0.281
71,452,0.311
71,22,0.267
71,161,0.499
72,110,0.117
72,247,0.158
73,78,0.113
73,224,0.209
73,315,0.34
73,304,0.471
73,449,0.209
74,489,0.439
74,291,0.388
75,203,0.229
75,25,0.399
75,179,0.54
76,397,0.532
76,29,0.58
76,495,0.383
76,467,0.441
76,135,0.53
76,78,0.287
76,18,0.596
77,375,0.489
77,79,0.59
77,177,0.144
78,415,0.377
78,224,0.275
78,328,0.506
78,297,0.548
78,161,0.22
78,448,0.482
79,299,0.566
79,272,0.389
79,357,0.356
79,275,0.588
79,310,0.203
79,440,0.171
79,483,0.181
80,118,0.475
80,362,0.314
80,224,0.101
81,343,0.42
81,166,0.253
81,109,0.306
81,87,0.323
81,397,0.251
82,123,0.555
82,443,0.386
82,347,0.291
82,421,0.448
83,56,0.149
83,18,0.174
84,77,0.307
84,463,0.534
85,371,0.576
85,246,0.229
85,235,0.346
86,170,0.55
86,380,0.343
86,201,0.383
86,249,0.291
87,400,0.143
87,497,0.289
88,483,0.247
88,464,0.147
89,122,0.303
89,340,0.174
89,347,0.153
89,29,0.562
90,70,0.491
90,130,0.401
90,181,0.455
90,336,0.409
90,188,0.189
90,64,0.372
91,405,0.559
91,67,0.12
91,147,0.428
91,39,0.42
92,314,0.1
92,265,0.544
92,105,0.543
92,473,0.371
92,385,0.161
93,439,0.208
93,27,0.458
93,145,0.454
94,360,0.12
94,494,0.312
94,304,0.585
94,165,0.498
94,365,0.117
95,143,0.331
95,490,0.462
95,74,0.251
95,302,0.331
95,438,0.21
95,164,0.486
95,245,0.13
96,371,0.332
96,138,0.415
96,409,0.523
96,343,0.521
96,372,0.262
97,468,0.293
97,423,0.471
97,146,0.142
98,232,0.21
98,245,0.22
98,62,0.5
98,178,0.133
98,277,0.382
98,434,0.253
98,482,0.233
99,146,0.264
99,413,0.405
99,104,0.554
99,127,0.218
99,25,0.439
100,295,0.135
100,48,0.257
100,277,0.255
100,288,0.151
100,324,0.362
101,256,0.587
101,90,0.567
102,27,0.572
102,118,0.593
102,28,0.108
102,106,0.465
102,348,0.236
103,420,0.598
103,407,0.338
103,191,0.459
104,125,0.248
104,373,0.588
104,234,0.126
104,360,0.597
104,253,0.553
105,130,0.169
105,307,0.291
105,467,0.593
105,189,0.181
106,130,0.334
106,250,0.4
106,459,0.178
107,341,0.396
107,282,0.528
107,362,0.136
107,105,0.148
108,410,0.547
108,134,0.564
108,56,0.323
108,98,0.241
109,481,0.575
109,432,0.302
109,137,0.125
110,195,0.161
110,287,0.273
110,473,0.41
110,159,0.325
110,239,0.201
110,285,0.395
111,496,0.3
111,149,0.254
111,388,0.543
112,364,0.175
112,495,0.436
112,113,0.112
112,339,0.218
112,67,0.204
112,447,0.569
112,51,0.172
113,303,0.173
113,355,0.504
113,459,0.35
114,164,0.403
114,246,0.178
114,443,0.271
114,189,0.468
115,452,0.177
115,256,0.196
115,352,0.163
115,405,0.357
115,296,0.488
115,306,0.466
116,308,0.433
116,250,0.436
116,9,0.37
116,396,0.562
116,57,0.555
116,383,0.124
117,438,0.275
117,235,0.191
117,220,0.351
117,223,0.39
118,273,0.507
118,126,0.201
119,430,0.134
119,289,0.147
119,73,0.273
120,297,0.316
120,90,0.218
120,208,0.482
120,93,0.293
120,227,0.435
121,177,0.102
121,365,0.145
121,331,0.163
121,128,0.247
121,24,0.48
121,170,0.355
121,275,0.496
122,128,0.129
122,342,0.522
122,49,0.534
122,163,0.556
122,61,0.471
122,86,0.455
122,41,0.339
123,39,0.198
123,275,0.557
123,396,0.358
124,73,0.443
124,415,0.176
124,281,0.57
124,317,0.498
124,343,0.227
124,376,0.39
124,78,0.288
125,341,0.501
125,430,0.19
126,463,0.468
126,255,0.515
126,209,0.134
126,15,0.261
126,261,0.496
126,248,0.347
127,447,0.424
127,318,0.439
127,266,0.454
127,119,0.12
127,69,0.358
127,158,0.307
128,20,0.155
128,414,0.441
128,312,0.55
128,490,0.561
128,305,0.404
129,408,0.366
129,378,0.326
129,413,0.571
130,287,0.474
130,410,0.329
130,362,0.117
130,10,0.429
130,268,0.227
131,128,0.39
131,65,0.347
131,421,0.371
131,396,0.517
131,495,0.439
132,27,0.459
132,160,0.118
132,327,0.39
132,102,0.34
133,18,0.394
133,406,0.306
133,488,0.126
133,116,0.109
133,425,0.123
134,257,0.543
134,306,0.115
135,148,0.589
135,165,0.529
135,439,0.521
135,76,0.416
136,486,0.384
136,309,0.49
136,454,0.268
137,298,0.218
137,403,0.184
138,378,0.481
138,157,0.444
139,78,0.295
139,408,0.304
139,53,0.132
139,183,0.195
139,407,0.54
139,281,0.509
140,58,0.51
140,383,0.274
141,271,0.499
141,457,0.54
141,397,0.122
141,59,0.6
142,126,0.318
142,144,0.535
142,246,0.115
142,450,0.278
142,34,0.315
142,343,0.472
142,56,0.191
143,165,0.572
143,23,0.29
143,357,0.369
143,10,0.482
143,34,0.222
144,403,0.302
144,390,0.175
144,39,0.111
144,129,0.575
144,414,0.489
144,312,0.208
145,481,0.332
145,252,0.293
145,226,0.246
146,356,0.448
146,436,0.548
146,107,0.208
146,332,0.158
146,199,0.383
146,308,0.359
147,489,0.217
147,394,0.384
147,18,0.358
147,211,0.382
147,180,0.451
147,493,0.37
147,48,0.444
148,411,0.447
148,277,0.563
148,269,0.18
149,205,0.592
149,123,0.381
149,267,0.174
149,394,0.518
149,456,0.573
149,383,0.541
149,187,0.199
150,188,0.403
150,186,0.367
150,279,0.248
150,301,0.354
150,162,0.133
150,28,0.172
150,77,0.248
151,192,0.113
151,75,0.132
151,15,0.457
152,230,0.533
152,110,0.268
153,272,0.337
153,497,0.551
153,262,0.254
154,356,0.49
154,90,0.549
154,323,0.565
155,254,0.337
155,87,0.186
155,127,0.548
155,318,0.41
155,185,0.164
155,304,0.228
155,217,0.482
156,127,0.314
156,200,0.175
156,199,0.171
156,411,0.425
157,63,0.255
157,15,0.417
158,395,0.352
158,468,0.152
158,457,0.555
158,120,0.321
159,451,0.525
159,213,0.188
159,150,0.187
159,279,0.498
160,279,0.563
160,204,0.55
160,30,0.301
160,355,0.382
160,95,0.553
160,357,0.26
161,397,0.404
161,40,0.462
162,37,0.382
162,179,0.551
162,115,0.454
163,316,0.559
163,352,0.458
163,172,0.4
163,451,0.218
163,103,0.533
163,470,0.388
163,295,0.405
164,413,0.511
164,69,0.384
165,185,0.533
165,486,0.589
165,253,0.444
166,112,0.471
166,403,0.12
166,167,0.574
166,487,0.196
166,314,0.141
166,247,0.269
166,232,0.451
167,120,0.298
167,141,0.521
167,194,0.154
167,93,0.125
167,297,0.144
167,366,0.439
168,430,0.505
168,191,0.251
168,310,0.286
168,85,0.58
168,140,0.234
168,195,0.311
169,347,0.368
169,329,0.412
170,16,0.534
170,305,0.116
171,297,0.218
171,187,0.539
171,397,0.155
172,228,0.443
172,441,0.237
172,30,0.472
172,452,0.435
173,448,0.32
173,126,0.439
173,308,0.397
174,424,0.149
174,112,0.212
174,204,0.322
174,251,0.143
174,252,0.598
175,456,0.501
175,68,0.128
175,126,0.178
175,97,0.546
175,21,0.155
175,17,0.223
175,464,0.121
176,373,0.209
176,256,0.301
176,80,0.39
176,211,0.408
176,70,0.46
176,457,0.579
176,290,0.519
177,421,0.569
177,429,0.371
177,157,0.547
177,177,0.225
177,195,0.266
178,117,0.371
178,441,0.404
178,403,0.486
178,258,0.413
178,451,0.216
178,199,0.399
178,197,0.587
179,220,0.303
179,66,0.498
179,5,0.163
180,248,0.342
180,366,0.109
180,448,0.395
181,166,0.561
181,407,0.186
182,18,0.27
182,420,0.24
182,386,0.366
182,121,0.476
182,388,0.497
182,217,0.204
182,272,0.188
183,404,0.149
183,95,0.179
183,181,0.492
183,249,0.115
183,129,0.125
183,159,0.354
183,389,0.185
184,308,0.27
184,259,0.48
185,59,0.116
185,464,0.597
185,255,0.157
185,228,0.19
186,444,0.129
186,453,0.516
186,275,0.201
186,210,0.339
186,459,0.343
187,448,0.242
187,167,0.445
187,185,0.206
187,81,0.195
187,435,0.203
188,395,0.329
188,368,0.204
188,120,0.194
188,436,0.353
188,78,0.24
189,488,0.445
189,184,0.217
189,93,0.121
189,429,0.182
190,416,0.213
190,497,0.168
190,38,0.369
190,126,0.339
190,149,0.175
190,102,0.365
191,371,0.193
191,262,0.309
191,203,0.381
192,39,0.381
192,383,0.129
192,418,0.182
192,332,0.574
193,49,0.198
193,90,0.589
193,474,0.179
193,258,0.596
193,19,0.522
194,233,0.469
194,121,0.168
194,330,0.575
194,335,0.5
195,42,0.311
195,438,0.576
195,41,0.376
195,116,0.366
195,461,0.305
195,262,0.378
195,361,0.592
196,250,0.183
196,2,0.533
196,230,0.134
196,444,0.158
196,118,0.449
197,469,0.546
197,90,0.123
197,374,0.207
197,431,0.18
197,260,0.278
197,213,0.381
198,44,0.25
198,446,0.547
198,236,0.375
198,355,0.333
198,385,0.388
198,381,0.342
198,330,0.478
199,322,0.339
199,418,0.387
199,187,0.349
199,451,0.309
200,252,0.35
200,283,0.239
200,459,0.461
200,367,0.484
200,291,0.567
201,146,0.43
201,167,0.381
201,336,0.336
201,234,0.434
201,211,0.342
202,136,0.545
202,2,0.279
202,148,0.437
203,213,0.186
203,295,0.255
203,188,0.209
203,137,0.201
204,121,0.242
204,52,0.34
204,489,0.344
204,17,0.598
204,452,0.282
204,260,0.233
204,379,0.582
205,2,0.232
205,359,0.397
206,470,0.364
206,167,0.528
206,91,0.52
206,471,0.205
207,20,0.112
207,465,0.369
207,408,0.192
207,81,0.198
207,418,0.4
207,233,0.213
207,323,0.207
208,473,0.53
208,218,0.31
208,7,0.485
208,457,0.358
208,114,0.364
209,430,0.134
209,463,0.111
209,203,0.33
210,289,0.2
210,358,0.57
210,373,0.219
210,338,0.393
210,298,0.379
210,158,0.268
210,320,0.526
211,181,0.312
211,477,0.22
211,153,0.292
211,302,0.129
212,144,0.546
212,171,0.309
212,480,0.191
213,42,0.583
213,214,0.419
213,329,0.382
213,286,0.494
213,287,0.103
213,96,0.241
214,352,0.141
214,436,0.118
215,453,0.125
215,121,0.381
215,302,0.217
215,94,0.243
215,44,0.144
216,51,0.21
216,98,0.311
216,303,0.162
216,428,0.598
217,457,0.33
217,308,0.568
217,48,0.311
217,404,0.334
217,230,0.37
218,401,0.443
218,220,0.14
218,224,0.174
218,395,0.487
218,53,0.31
219,494,0.243
219,293,0.532
219,285,0.393
219,193,0.17
219,305,0.286
220,139,0.213
220,483,0.155
220,172,0.103
221,420,0.388
221,67,0.312
222,29,0.345
222,493,0.55
222,187,0.516
222,426,0.366
222,463,0.389
223,256,0.17
223,375,0.276
223,441,0.463
224,218,0.505
224,458,0.293
224,302,0.172
224,176,0.111
224,417,0.39
224,54,0.225
225,103,0.152
225,89,0.367
225,100,0.571
226,183,0.277
226,99,0.214
226,60,0.265
226,372,0.185
226,10,0.562
227,431,0.59
227,401,0.307
227,152,0.243
228,265,0.407
228,210,0.495
228,190,0.537
228,367,0.173
228,62,0.414
228,180,0.214
229,373,0.185
229,298,0.16
229,54,0.582
229,372,0.147
229,379,0.32
229,76,0.151
230,293,0.502
230,232,0.28
231,309,0.389
231,422,0.15
231,38,0.309
231,204,0.502
231,483,0.221
231,289,0.191
231,451,0.109
232,129,0.221
232,302,0.337
232,139,0.196
232,399,0.507
233,138,0.429
233,19,0.381
233,284,0.147
233,437,0.342
233,48,0.131
234,369,0.189
234,286,0.169
234,398,0.523
235,252,0.155
235,379,0.545
235,467,0.137
235,305,0.307
235,64,0.473
235,432,0.298
235,349,0.386
236,236,0.377
236,17,0.291
236,187,0.45
236,54,0.118
236,298,0.324
236,392,0.347
237,388,0.455
237,193,0.388
237,217,0.206
237,166,0.567
237,430,0.376
238,48,0.242
238,137,0.332
239,234,0.543
239,227,0.531
239,438,0.451
239,446,0.274
239,422,0.278
239,387,0.118
239,436,0.139
240,213,0.506
240,88,0.201
240,61,0.139
240,147,0.333
240,406,0.135
240,153,0.239
240,140,0.45
241,261,0.503
241,477,0.242
241,69,0.339
241,196,0.152
241,78,0.463
242,330,0.459
242,19,0.559
242,306,0.447
242,140,0.165
242,353,0.23
243,82,0.511
243,231,0.403
243,128,0.373
243,156,0.518
243,441,0.233
244,97,0.266
244,378,0.231
245,34,0.53
245,194,0.331
245,405,0.512
245,183,0.501
246,497,0.169
246,119,0.433
246,398,0.437
246,485,0.591
246,181,0.461
247,43,0.503
247,415,0.512
247,6,0.462
247,113,0.349
247,434,0.562
248,158,0.207
248,114,0.256
248,420,0.269
248,91,0.533
248,170,0.181
249,303,0.329
249,273,0.261
249,315,0.582
249,45,0.533
249,47,0.19
249,407,0.45
250,320,0.369
250,216,0.168
250,475,0.217
250,311,0.252
250,336,0.456
250,476,0.173
251,176,0.245
251,299,0.532
251,118,0.584
251,372,0.256
252,215,0.142
252,403,0.444
252,116,0.402
253,472,0.366
253,6,0.478
253,308,0.307
253,103,0.264
254,497,0.167
254,272,0.247
254,98,0.274
254,255,0.255
254,122,0.472
255,126,0.562
255,499,0.531
255,205,0.439
255,18,0.459
256,135,0.149
256,129,0.537
256,361,0.161
256,51,0.421
256,318,0.544
257,199,0.458
257,1,0.594
257,166,0.122
257,435,0.498
257,484,0.164
257,157,0.572
258,207,0.165
258,330,0.332
258,379,0.503
258,477,0.175
258,36,0.22
258,158,0.377
258,150,0.161
259,197,0.216
259,218,0.356
259,461,0.283
259,81,0.33
259,177,0.463
259,266,0.355
259,395,0.557
260,497,0.548
260,402,0.329
261,448,0.358
261,258,0.409
261,31,0.303
261,173,0.186
261,455,0.424
262,32,0.526
262,397,0.456
262,4,0.457
262,53,0.102
262,160,0.249
263,47,0.394
263,387,0.387
263,224,0.316
264,322,0.524
264,447,0.126
264,283,0.324
265,498,0.532
265,93,0.363
265,118,0.225
265,66,0.307
266,222,0.494
266,406,0.119
267,294,0.259
267,233,0.346
267,8,0.198
267,192,0.319
267,161,0.537
268,352,0.519
268,27,0.304
268,473,0.443
269,381,0.499
269,205,0.566
270,48,0.48
270,273,0.166
271,451,0.185
271,260,0.509
272,70,0.454
272,274,0.337
272,42,0.178
273,346,0.577
273,307,0.104
273,485,0.277
273,30,0.503
273,332,0.587
273,163,0.123
274,176,0.312
274,265,0.564
274,20,0.2
275,226,0.366
275,249,0.38
276,339,0.462
276,480,0.26
276,476,0.421
276,345,0.359
276,32,0.463
277,373,0.282
277,60,0.377
277,380,0.273
277,417,0.512
277,250,0.436
277,76,0.539
278,68,0.548
278,208,0.599
278,139,0.185
278,334,0.392
279,70,0.565
279,26,0.115
279,471,0.563
280,338,0.21
280,389,0.54
280,229,0.395
280,351,0.247
280,104,0.438
280,23,0.499
280,340,0.311
281,109,0.581
281,259,0.339
281,248,0.225
281,399,0.483
281,271,0.185
282,206,0.524
282,199,0.309
282,184,0.344
282,463,0.369
283,457,0.233
283,37,0.147
283,85,0.336
284,61,0.406
284,162,0.227
284,313,0.106
285,235,0.276
285,327,0.441
285,185,0.332
286,265,0.384
286,289,0.147
286,199,0.481
286,13,0.281
286,188,0.504
286,123,0.441
286,206,0.539
287,196,0.539
287,198,0.177
287,420,0.222
287,398,0.164
287,32,0.244
288,395,0.484
288,457,0.332
288,376,0.192
288,369,0.336
289,401,0.196
289,227,0.367
289,363,0.394
289,176,0.318
290,51,0.107
290,425,0.109
290,107,0.409
290,148,0.427
290,244,0.591
290,411,0.255
290,390,0.271
291,15,0.579
291,393,0.226
291,380,0.552
291,91,0.574
291,280,0.289
291,478,0.266
291,433,0.242
292,128,0.294
292,300,0.381
292,351,0.106
292,245,0.278
292,146,0.436
292,108,0.547
292,44,0.155
293,456,0.575
293,430,0.108
293,465,0.378
293,214,0.39
294,143,0.293
294,333,0.185
294,481,0.58
295,6,0.532
295,187,0.241
295,202,0.449
295,205,0.301
295,167,0.564
295,328,0.209
296,375,0.181
296,49,0.526
296,212,0.299
296,50,0.598
296,413,0.368
296,310,0.163
296,461,0.14
297,463,0.359
297,298,0.338
297,276,0.268
297,195,0.538
298,63,0.405
298,398,0.277
298,408,0.329
298,324,0.289
298,6,0.492
298,312,0.37
298,59,0.594
299,239,0.32
299,305,0.503
299,98,0.443
299,176,0.427
299,351,0.463
300,31,0.22
300,483,0.353
300,142,0.138
301,437,0.508
301,30,0.135
301,219,0.188
301,302,0.566
301,310,0.259
301,75,0.289
301,344,0.433
302,213,0.444
302,302,0.191
302,54,0.51
302,59,0.16
302,255,0.224
302,276,0.387
303,179,0.416
303,466,0.349
303,435,0.514
303,99,0.127
303,257,0.468
304,8,0.532
304,65,0.185
304,268,0.317
304,106,0.521
305,83,0.597
305,157,0.172
305,415,0.535
306,445,0.346
306,281,0.244
306,123,0.32
306,492,0.225
307,177,0.455
307,173,0.328
307,32,0.4
307,263,0.113
307,51,0.562
308,380,0.297
308,414,0.101
308,261,0.333
308,399,0.142
308,270,0.566
308,299,0.576
309,68,0.273
309,81,0.519
309,308,0.325
309,79,0.551
309,171,0.3
309,334,0.504
310,70,0.484
310,215,0.398
310,190,0.17
310,291,0.336
311,413,0.488
311,242,0.553
311,398,0.175
312,114,0.123
312,96,0.294
312,220,0.129
312,424,0.241
312,73,0.157
313,108,0.197
313,131,0.235
313,69,0.131
313,410,0.5
314,408,0.383
314,103,0.572
314,232,0.387
314,12,0.427
315,342,0.323
315,293,0.119
315,2,0.327
315,398,0.433
316,158,0.115
316,188,0.112
317,89,0.43
317,238,0.249
317,363,0.536
318,280,0.286
318,14,0.501
318,50,0.473
318,395,0.539
318,320,0.226
319,43,0.502
319,257,0.405
319,482,0.537
319,290,0.426
320,470,0.325
320,159,0.437
320,326,0.256
320,317,0.512
320,441,0.205
321,406,0.589
321,206,0.236
321,493,0.374
322,120,0.504
322,497,0.354
323,159,0.131
323,127,0.215
323,206,0.42
323,155,0.269
323,232,0.23
324,207,0.3
324,66,0.451
325,423,0.13
325,299,0.209
325,153,0.303
326,46,0.33
326,395,0.381
326,204,0.354
326,200,0.369
326,186,0.221
326,376,0.389
327,173,0.159
327,7,0.132
327,491,0.403
327,1,0.576
327,84,0.136
328,148,0.407
328,406,0.598
328,186,0.256
328,336,0.286
328,372,0.535
329,133,0.485
329,190,0.135
329,98,0.426
329,153,0.365
330,99,0.291
330,218,0.471
330,416,0.113
331,301,0.204
331,177,0.481
331,498,0.581
331,389,0.419
331,178,0.378
331,329,0.544
332,256,0.579
332,57,0.162
332,157,0.265
332,388,0.342
332,376,0.42
333,5,0.29
333,32,0.206
334,11,0.539
334,69,0.38
334,116,0.331
334,73,0.596
334,89,0.197
334,114,0.42
334,433,0.41
335,399,0.585
335,67,0.289
335,330,0.471
336,14,0.56
336,88,0.11
336,126,0.421
336,3,0.452
336,188,0.399
336,284,0.314
337,184,0.495
337,277,0.255
337,361,0.484
337,159,0.455
337,249,0.191
338,309,0.21
338,331,0.518
338,220,0.349
338,267,0.306
338,64,0.447
338,275,0.33
339,187,0.157
339,296,0.562
339,249,0.354
339,455,0.122
340,84,0.476
340,61,0.21
340,327,0.532
341,114,0.381
341,184,0.249
341,412,0.202
342,282,0.507
342,268,0.206
342,465,0.524
342,300,0.159
343,370,0.475
343,418,0.114
343,117,0.242
343,288,0.349
343,63,0.296
343,462,0.171
344,10,0.193
344,56,0.159
344,462,0.522
344,277,0.167
344,297,0.318
344,364,0.491
345,76,0.329
345,116,0.361
345,367,0.568
346,98,0.429
346,186,0.162
346,79,0.411
346,391,0.436
346,295,0.545
347,282,0.206
347,433,0.271
347,446,0.183
347,294,0.102
347,68,0.348
348,183,0.127
348,185,0.121
348,273,0.287
348,169,0.228
348,322,0.468
348,493,0.557
349,146,0.248
349,354,0.371
349,268,0.242
349,481,0.115
350,44,0.502
350,183,0.337
350,38,0.507
350,7,0.549
351,108,0.483
351,99,0.435
351,311,0.307
351,344,0.28
351,458,0.118
352,156,0.27
352,407,0.388
353,85,0.144
353,103,0.27
353,38,0.502
353,32,0.536
353,339,0.474
353,267,0.341
354,339,0.26
354,351,0.497
354,480,0.582
354,144,0.424
354,168,0.17
354,470,0.5
354,115,0.576
355,418,0.427
355,372,0.469
355,176,0.495
355,412,0.354
356,12,0.164
356,209,0.144
357,460,0.387
357,440,0.386
357,280,0.41
357,52,0.488
357,104,0.483
358,283,0.197
358,499,0.509
359,116,0.246
359,289,0.427
359,52,0.282
359,407,0.166
360,240,0.46
360,292,0.27
360,134,0.588
360,17,0.177
360,487,0.496
361,447,0.593
361,280,0.104
362,150,0.23
362,289,0.282
362,456,0.543
362,450,0.25
362,405,0.184
362,36,0.209
362,275,0.374
363,74,0.501
363,217,0.531
364,339,0.523
364,128,0.237
364,460,0.39
364,277,0.482
364,254,0.51
364,391,0.299
365,169,0.472
365,178,0.238
365,249,0.199
365,480,0.326
365,55,0.473
365,499,0.358
366,355,0.538
366,238,0.176
366,30,0.538
366,156,0.179
366,155,0.137
366,360,0.13
366,373,0.458
367,97,0.268
367,5,0.395
367,154,0.155
367,381,0.112
367,459,0.362
367,380,0.336
367,123,0.599
368,140,0.434
368,174,0.51
368,113,0.303
368,45,0.174
368,264,0.149
369,40,0.184
369,471,0.144
369,170,0.222
369,49,0.276
369,311,0.139
370,468,0.235
370,467,0.245
371,314,0.393
371,329,0.166
371,200,0.338
371,40,0.173
372,48,0.539
372,248,0.163
372,358,0.193
372,62,0.479
372,322,0.556
372,251,0.315
373,224,0.477
373,439,0.464
373,211,0.214
373,467,0.263
373,359,0.243
373,438,0.473
373,346,0.114
374,162,0.484
374,138,0.523
374,55,0.558
374,113,0.38
375,32,0.347
375,138,0.306
375,476,0.426
375,386,0.266
375,418,0.144
376,87,0.285
376,17,0.521
376,171,0.324
376,59,0.509
376,417,0.226
376,405,0.223
377,201,0.523
377,227,0.137
378,46,0.343
378,365,0.547
378,179,0.526
378,124,0.389
378,79,0.226
379,146,0.31
379,196,0.514
379,248,0.39
379,316,0.227
379,243,0.355
379,154,0.499
380,439,0.338
380,409,0.388
380,363,0.553
380,441,0.213
380,201,0.386
381,60,0.188
381,356,0.201
381,449,0.234
381,78,0.355
382,356,0.437
382,187,0.315
382,192,0.381
382,459,0.308
382,456,0.454
382,335,0.122
382,7,0.104
383,57,0.499
383,445,0.527
383,149,0.244
383,403,0.409
383,171,0.277
384,52,0.235
384,464,0.593
384,76,0.378
384,497,0.583
385,445,0.132
385,153,0.185
386,46,0.181
386,42,0.349
386,491,0.576
386,267,0.25
387,361,0.101
387,461,0.458
388,325,0.555
388,97,0.194
388,2,0.392
388,445,0.493
388,157,0.469
389,320,0.254
389,335,0.269
389,336,0.319
389,22,0.51
390,426,0.334
390,235,0.208
390,217,0.418
390,300,0.38
390,244,0.381
391,49,0.123
391,254,0.522
391,467,0.529
391,128,0.276
391,283,0.234
391,397,0.34
392,128,0.504
