entrega_id,fecha,pedido_id,cliente_id,tiempo_min,propina
173,2025-06-28,54320,33389,57,4.12
174,2025-05-31,139336,11883,47,2.47
175,2025-10-05,33733,32558,40,1.9
176,2025-06-09,88854,32606,33,1.19
177,2025-04-16,28492,49029,27,0.01
178,2025-04-05,45509,11776,29,1.29
179,2025-09-06,72927,35254,32,2.26
180,2025-06-29,78674,29956,47,4.34
181,2025-03-19,77484,24409,30,2.95
182,2025-10-04,31728,21675,24,2.9
183,2025-08-13,47810,38142,37,0.69
184,2025-07-01,132235,29413,33,0.39
185,2025-08-25,147174,13875,33,3.93
186,2025-08-14,143535,38897,41,2.25
187,2025-01-04,137759,31540,48,0.92
188,2025-10-20,14298,23974,28,0.19
189,2025-08-31,12832,21170,25,1.93
190,2025-03-31,95339,3184,32,1.12
191,2025-04-17,3819,27678,27,0.17
192,2025-07-16,144725,45746,20,5.97
193,2025-04-08,70377,23594,27,1.46
194,2025-06-21,111560,23685,27,0.77
195,2025-04-25,145221,22814,36,1.16
196,2025-04-02,47022,7395,33,3.63
197,2025-03-08,56699,19975,45,2.04
198,2025-07-08,22986,35061,28,2.29
199,2025-08-12,141049,48267,48,0.2
200,2025-10-31,54364,2416,26,0.52
201,2025-04-08,73253,43317,25,0.1
202,2024-12-10,49769,13684,16,1.53
203,2025-07-21,86230,17645,39,1.12
204,2025-08-24,123830,8253,43,0.17
205,2025-10-05,147289,33073,37,0.46
206,2025-06-03,24743,5617,33,0.01
207,2025-03-26,39870,36911,29,0.41
208,2025-07-31,8590,19170,28,0.72
209,2025-03-01,115805,37866,30,0.23
210,2025-05-05,20685,15914,39,0.44
211,2024-12-20,138733,37084,38,1.67
212,2024-11-26,57586,5724,31,4.4
213,2024-12-20,15996,30238,23,1.06
214,2025-10-05,43863,37159,31,0.26
215,2024-12-28,61947,22695,33,0.04
216,2025-09-18,57389,1753,12,0.17
217,2025-03-25,86562,18508,68,0.45
218,2025-09-27,50838,47169,32,0.51
219,2025-02-23,10611,44209,37,0.08
220,2024-11-12,86602,30804,22,0.61
221,2025-05-30,37400,13889,35,1.06
222,2025-01-08,99694,14070,41,0.79
223,2024-12-08,128561,16184,42,0.84
224,2025-05-18,55868,34425,30,0.46
225,2024-11-16,123268,10081,38,2.66
226,2025-04-16,135266,23887,25,0.94
227,2025-06-19,97660,3594,30,3.9
228,2024-12-24,131143,22153,62,2.23
229,2025-07-09,14150,43597,30,1.26
230,2025-08-31,120882,14243,37,1.67
231,2025-10-03,133953,36558,41,2.22
232,2024-12-08,104066,2520,22,5.81
233,2025-03-15,58145,9829,31,1.06
234,2025-07-15,85236,16002,37,1.73
235,2025-10-27,49071,32894,50,1.58
236,2025-10-05,145381,26457,36,1.78
237,2025-03-02,2075,33990,49,1.34
238,2025-06-04,132896,12324,45,0.14
239,2025-06-23,96091,9732,48,3.05
240,2025-08-11,21305,14172,41,0.34
241,2024-12-10,59021,13149,30,0.02
242,2024-11-07,97146,28927,51,2.18
243,2024-11-24,140074,16332,31,0.44
244,2025-10-15,39262,26684,35,0.36
245,2025-02-20,15784,38508,29,0.11
246,2025-04-30,126582,18787,21,2.99
247,2025-09-12,5937,29497,37,0.33
248,2025-04-20,100455,2584,48,0.26
249,2025-08-27,137058,42724,50,1.02
250,2025-05-05,31377,756,36,0.45
251,2025-10-23,133812,27802,18,0.03
252,2024-12-12,149261,14018,41,2.74
253,2025-02-12,39963,27558,34,0.22
254,2025-03-27,96562,12045,33,3.01
255,2025-07-30,11867,20480,25,2.9
256,2025-05-16,75613,30888,26,4.45
257,2025-06-02,3375,9950,51,0.48
258,2025-02-26,41796,43298,30,0.53
259,2025-04-29,29826,8416,53,0.52
260,2025-09-04,79181,27959,47,4.62
261,2025-03-25,31422,42985,27,4.82
262,2024-12-21,28103,10754,48,1.09
263,2025-01-09,135469,40142,32,0.69
264,2024-11-13,103823,31096,40,5.62
265,2025-10-04,12264,47493,39,1.13
266,2025-07-31,148400,2145,26,2.61
267,2025-06-18,109296,47809,38,1.61
268,2025-05-04,97477,48801,28,2.44
269,2025-02-27,35833,13230,52,1.62
270,2025-03-29,128142,22751,22,0.0
271,2025-07-24,56532,17316,35,0.04
272,2025-09-28,17738,6399,48,3.34
273,2025-04-05,79782,970,17,0.78
274,2025-05-15,135674,24688,51,1.69
275,2025-02-17,128214,7580,53,1.15
276,2025-04-19,68029,39961,24,4.74
277,2025-06-11,133199,1574,39,1.46
278,2025-09-17,51796,44716,20,3.76
279,2025-02-14,109226,38095,43,3.99
280,2025-02-06,86037,14988,37,0.52
281,2025-08-08,23016,4172,29,0.97
282,2025-05-14,119356,45946,32,0.55
283,2025-10-20,105268,16020,19,0.95
284,2025-06-02,128588,10885,46,1.07
285,2025-07-05,123477,16298,29,0.32
286,2025-06-27,135627,13654,29,0.28
287,2025-10-29,146788,39033,19,0.53
288,2025-01-17,115062,18638,24,1.9
289,2025-04-28,97468,21832,23,1.33
290,2024-11-11,134765,8554,28,3.99
291,2025-06-19,35351,15710,29,3.44
292,2025-02-17,133357,43665,47,0.24
293,2025-03-22,27368,38826,35,5.69
294,2025-03-21,114762,32392,51,0.54
295,2025-10-05,70458,1537,29,2.08
296,2025-02-11,144831,35120,31,0.3
297,2025-02-11,72167,24381,37,0.06
298,2025-11-05,141245,48779,16,10.73
299,2025-01-26,79259,33210,29,0.78
300,2025-10-23,44911,37613,39,1.6
301,2025-09-19,6423,13523,35,1.53
302,2025-06-21,56402,6327,39,1.84
303,2025-09-13,19078,2273,34,0.15
304,2025-01-11,115854,15148,43,0.73
305,2025-07-20,16171,10370,47,2.27
306,2025-06-28,71561,32722,40,0.66
307,2025-01-15,48310,40974,37,1.46
308,2025-06-16,51184,5302,46,1.33
309,2024-12-17,127181,20703,39,1.35
310,2024-12-13,87873,29710,40,0.51
311,2025-01-25,50360,7266,35,0.99
312,2025-05-05,48464,2108,30,1.12
313,2025-10-16,124958,45984,38,1.0
314,2025-07-11,73826,32157,31,0.05
315,2025-03-16,87015,48070,36,1.05
316,2025-05-15,76824,13239,19,3.38
317,2025-09-18,32893,32525,23,0.51
318,2025-05-04,5849,46119,31,1.19
319,2024-11-25,2446,40323,36,0.5
320,2025-03-21,82087,1157,48,0.13
321,2025-07-20,118704,19676,32,0.06
322,2025-10-08,76034,17680,21,0.09
323,2025-10-16,34272,14577,19,0.44
324,2024-12-24,64389,18102,26,4.56
325,2025-04-01,121040,12938,28,1.29
326,2025-03-28,65240,46954,30,0.99
327,2025-09-09,55571,35993,37,1.3
328,2025-06-25,23620,39737,54,0.27
329,2025-01-27,102854,24808,26,2.56
330,2025-05-09,143284,668,46,1.52
331,2025-10-02,25556,34318,30,0.35
332,2025-07-29,21557,42308,32,0.84
333,2025-10-15,88951,19226,32,1.91
334,2025-04-15,40003,46561,53,1.87
335,2025-10-12,82459,37016,42,1.56
336,2025-09-19,57397,37384,38,1.26
337,2025-08-02,74815,35255,13,0.2
338,2025-04-06,68748,2760,35,0.56
339,2025-04-02,99382,7948,27,0.04
340,2024-12-03,146280,38798,10,0.16
341,2025-02-14,69117,35898,29,4.02
342,2025-10-29,132006,30720,13,1.59
343,2025-11-01,8159,41561,22,8.76
344,2025-01-16,8146,10971,30,0.04
345,2025-07-24,139038,39294,21,0.36
346,2025-07-12,145898,33448,26,1.68
347,2025-10-17,93202,34879,30,0.96
348,2025-07-14,141140,26299,33,0.5
349,2025-04-16,26426,4138,36,0.22
350,2025-01-11,45940,43699,21,1.69
351,2025-08-28,12907,41084,32,1.31
352,2025-04-08,125514,16991,48,0.19
353,2025-04-26,61897,4538,56,0.02
354,2025-06-21,100945,27799,42,0.74
355,2025-01-22,16781,1361,28,0.27
356,2025-07-10,27227,31864,21,2.04
357,2025-02-23,22641,11818,25,0.32
358,2025-07-09,32176,29032,22,1.4
359,2025-08-04,144390,35098,31,1.26
360,2024-12-16,118565,45865,44,0.75
361,2024-12-04,64081,3326,50,1.12
362,2025-06-26,146529,20483,36,0.11
363,2025-01-01,48301,49976,32,0.64
364,2025-07-21,47557,22920,40,0.9
365,2025-04-18,132875,13614,37,4.04
366,2025-02-09,135024,17251,45,0.38
367,2025-10-01,98808,4193,25,1.13
368,2025-10-08,143726,39445,31,0.84
369,2025-09-09,96881,37236,42,0.26
370,2025-02-03,118819,37649,24,0.81
371,2025-02-04,47172,600,48,1.11
372,2025-02-25,111141,22242,20,1.13
373,2025-08-24,34537,14092,34,0.54
374,2024-11-23,88918,29818,28,4.39
375,2025-02-20,61795,4767,24,1.3
376,2025-04-26,30813,16392,41,2.59
377,2025-01-21,11241,41681,39,0.13
378,2025-06-04,105532,2399,30,1.75
379,2025-01-05,88828,26134,24,3.36
380,2025-07-13,91292,10772,36,0.36
381,2025-08-22,85133,18308,43,3.15
382,2025-05-19,99888,11891,49,0.7
383,2025-05-15,141234,6141,45,0.61
384,2025-08-16,114014,27510,13,2.34
385,2024-11-24,95751,37901,31,1.46
386,2024-11-09,56595,23060,38,2.68
387,2025-08-17,72094,26756,35,0.75
388,2025-10-07,8173,38086,48,0.03
389,2025-05-18,67421,41706,35,4.45
390,2025-04-21,73460,8857,49,0.21
391,2025-06-01,55820,38570,42,1.05
392,2025-04-29,97818,8313,29,1.09
393,2025-05-24,72938,9952,49,0.32
394,2025-10-02,67218,45570,31,0.74
395,2025-07-24,86046,45466,37,4.3
396,2025-03-12,109098,4347,33,1.21
397,2025-07-09,107506,40486,15,3.63
398,2025-02-22,126174,21372,45,0.05
399,2025-09-06,114063,44770,26,1.84
400,2025-06-14,42594,24257,54,0.04
401,2025-08-31,78695,37697,26,0.39
402,2024-11-07,101436,22375,37,3.28
403,2024-12-31,120420,15016,41,2.0
404,2025-02-11,120491,23232,29,0.81
405,2025-08-25,81087,3829,41,4.78
406,2025-01-13,20968,43292,23,1.0
407,2025-04-12,40579,49752,29,1.89
408,2025-07-21,112415,5585,43,0.11
409,2025-03-20,82939,12554,22,0.12
410,2025-02-22,83850,29803,27,1.57
411,2024-12-29,46358,18123,46,0.35
412,2025-05-24,80550,40650,40,1.69
413,2025-09-18,57684,11077,45,2.26
414,2025-01-19,24693,12658,23,1.39
415,2025-02-21,32629,13124,49,0.54
416,2025-03-31,119286,41115,34,2.31
417,2025-09-30,64961,40724,47,1.5
418,2025-09-24,92651,25731,26,2.56
419,2025-02-08,12760,46832,15,0.3
420,2025-08-23,13126,40157,27,2.18
421,2025-07-30,131800,6750,20,0.75
422,2025-03-24,111255,38769,40,1.97
423,2025-05-03,112879,45973,45,1.08
424,2025-07-22,17579,42694,33,2.22
425,2024-11-20,122741,30790,44,0.25
426,2025-04-22,93148,5051,45,8.74
427,2025-06-09,117482,42747,38,0.25
428,2025-08-13,134807,25481,37,2.08
429,2025-09-21,30309,565,35,3.27
430,2024-11-29,20419,4657,44,5.7
431,2025-05-24,21601,29485,37,8.11
432,2024-12-26,80248,25704,47,1.14
433,2025-01-30,81167,14819,28,2.3
434,2025-06-17,37057,44778,17,1.85
435,2025-08-09,143435,19667,22,2.91
436,2025-06-11,73922,41422,30,0.58
437,2025-07-17,25549,41453,45,0.77
438,2025-01-06,149699,32348,44,0.15
439,2025-08-19,147742,34043,33,0.55
440,2025-06-09,87862,1920,33,1.76
441,2025-08-06,15887,39163,16,2.16
442,2025-05-07,121523,47775,38,1.91
443,2025-08-15,10346,26968,28,1.2
444,2025-10-26,107609,21796,41,1.55
445,2025-03-23,25367,17463,40,0.65
446,2025-05-01,60014,28344,43,1.69
447,2025-09-30,96430,4558,31,1.87
448,2025-08-08,840,39450,36,2.26
449,2025-06-27,33140,49846,41,1.56
450,2025-01-22,123920,29329,35,1.15
451,2025-06-14,98971,24881,40,0.41
452,2025-06-03,55474,7615,48,0.98
453,2025-09-11,108864,14438,30,0.23
454,2025-01-24,14534,387,31,1.98
455,2025-06-16,59004,40889,25,0.51
456,2025-08-17,99048,45062,41,0.25
457,2025-08-22,17432,37596,38,1.63
458,2025-06-21,112377,21412,29,0.34
459,2025-01-02,142319,15728,38,0.92
460,2024-12-29,22544,3167,33,0.38
461,2025-01-10,77033,8475,49,0.7
462,2025-05-05,136670,10049,32,0.03
463,2025-06-20,76007,26496,36,0.09
464,2025-10-04,74710,21763,27,0.88
465,2025-01-23,30618,45313,52,0.08
466,2025-01-25,67003,22416,15,1.91
467,2025-06-04,94208,6003,28,1.05
468,2025-07-30,11906,37458,46,2.94
469,2025-10-30,25072,28344,36,0.11
470,2025-02-15,135091,44107,37,0.22
471,2025-05-25,12379,31683,18,4.12
472,2025-01-29,120525,29198,27,0.71
473,2024-11-06,64660,5617,39,0.46
474,2025-01-09,72102,7655,60,0.41
475,2025-05-17,113690,42401,29,1.69
476,2025-08-20,136486,10830,40,0.68
477,2025-05-21,2070,33174,40,3.33
478,2025-10-25,41652,42596,28,4.22
479,2025-03-02,93503,13547,38,1.36
480,2025-06-13,2525,37765,30,0.5
481,2025-08-24,119085,45887,38,0.64
482,2025-03-24,74081,33475,44,2.76
483,2025-09-15,140793,13519,39,0.06
484,2025-07-16,134826,34277,21,1.75
485,2025-03-17,129398,2197,53,0.42
486,2025-07-10,77080,1328,35,1.21
487,2025-08-14,44262,37477,39,2.16
488,2025-09-09,55846,15405,29,1.01
489,2025-09-22,110024,10182,36,2.49
490,2025-09-27,18005,27615,23,3.24
491,2024-12-12,147485,31183,44,3.63
492,2025-05-18,132144,42136,38,1.35
493,2025-06-25,74948,4254,31,0.69
494,2025-04-22,96501,23983,31,1.72
495,2025-05-24,56120,2310,30,13.24
496,2025-10-21,143714,8336,37,0.29
497,2025-01-08,73492,13557,22,2.48
498,2024-12-28,1769,41905,40,2.05
499,2025-04-16,131898,47962,22,0.6
500,2025-05-01,42184,14628,31,4.38
501,2025-10-29,82421,28411,35,1.91
502,2025-07-17,96162,4645,46,0.55
503,2025-11-04,119850,40088,10,3.31
504,2025-04-03,18181,44181,32,0.14
505,2025-01-13,18610,2431,49,0.97
506,2025-03-16,26634,15893,36,0.34
507,2025-10-12,105558,27595,30,0.1
508,2025-03-18,67479,8003,45,3.71
509,2025-04-01,59795,7526,10,1.87
510,2025-10-10,115146,26445,31,0.23
511,2025-09-07,5800,27810,31,0.04
512,2024-12-27,81569,25479,42,1.13
513,2024-12-28,105504,16144,27,0.33
514,2025-03-23,77647,13779,38,3.65
515,2025-03-31,21710,4089,40,1.24
516,2024-11-13,91657,46096,39,1.86
517,2025-02-08,133437,6268,36,1.56
518,2024-12-08,33296,12970,46,1.68
519,2024-12-16,42422,11337,42,4.33
520,2025-04-12,125209,702,28,0.58
521,2025-02-08,13180,46229,31,2.41
522,2025-04-07,76614,8968,30,1.35
523,2025-09-20,129640,11071,20,1.2
524,2025-10-25,52161,30311,32,3.57
525,2025-02-10,124034,24191,39,0.24
526,2024-11-24,16609,48600,42,0.84
527,2025-09-09,2715,4090,37,1.67
528,2024-12-26,141550,24519,29,1.74
529,2025-09-23,76806,11884,34,0.78
530,2024-12-17,104211,44258,35,0.94
531,2025-07-11,16207,23583,26,0.19
532,2025-01-09,112736,1777,34,5.21
533,2025-07-19,90440,48253,20,0.89
534,2024-12-14,148488,38285,24,0.27
535,2025-03-22,87477,7186,40,1.57
536,2024-12-10,145392,35408,24,1.34
537,2025-10-29,41334,35007,37,0.54
538,2025-06-26,112912,42231,37,2.16
539,2025-06-18,78032,47974,30,1.97
540,2024-12-20,21987,5444,35,0.77
541,2025-10-27,3042,31269,24,0.72
542,2025-05-09,78721,8102,38,1.82
543,2025-09-28,109398,44500,41,0.03
544,2025-06-22,58341,38311,32,0.49
545,2024-11-13,68927,15277,29,4.05
546,2025-02-06,123322,32652,33,0.49
547,2025-08-21,131751,9690,38,1.88
548,2025-03-31,67407,45355,54,1.03
549,2025-02-24,95596,28346,30,0.16
550,2025-04-19,45215,44071,23,1.1
551,2024-11-09,109931,22951,27,0.29
552,2025-09-26,21012,31279,26,0.21
553,2025-08-09,129159,23804,21,0.8
554,2025-07-06,118874,49172,45,0.31
555,2025-01-15,139519,25806,35,1.18
556,2025-02-03,2131,43822,35,0.18
557,2025-02-19,1138,27960,49,0.66
558,2025-07-08,2144,20769,32,1.89
559,2025-02-06,57318,22407,22,2.33
560,2025-04-05,57968,34527,35,1.08
561,2025-06-01,146479,41797,31,1.02
562,2025-06-27,130242,40021,48,0.59
563,2025-03-24,126102,510,28,1.19
564,2025-07-09,51509,20121,36,0.22
565,2025-08-31,69321,44129,38,1.68
566,2025-10-25,106358,11391,19,0.15
567,2025-02-27,73471,18770,26,0.91
568,2025-08-23,26018,8967,32,0.13
569,2024-11-29,59573,49320,35,0.16
570,2025-09-28,146929,1706,21,3.98
571,2025-05-25,73977,10017,39,1.33
572,2025-07-03,85668,34936,23,1.5
573,2025-10-12,31095,45586,18,0.0
574,2025-05-13,123751,3583,48,0.39
575,2024-12-07,75627,23473,28,1.86
576,2025-07-28,77630,14791,10,0.66
577,2025-08-26,90779,30795,31,2.21
578,2025-10-02,65927,44983,58,0.89
579,2025-04-28,45740,11820,34,3.32
580,2024-12-27,77847,15005,53,1.53
581,2024-11-18,97229,26129,36,3.92
582,2025-06-20,108066,47920,38,0.65
583,2025-09-02,41023,44057,53,0.71
584,2024-11-17,124465,17695,47,0.26
585,2025-03-21,102980,40223,32,0.18
586,2025-09-08,144591,45463,38,3.33
587,2025-11-01,62585,4661,35,1.48
588,2025-07-06,78801,1034,37,0.37
589,2025-03-25,4594,36056,38,7.55
590,2024-11-22,50109,12863,42,2.56
591,2025-04-24,6562,17497,26,3.51
592,2025-04-29,148079,14213,62,0.01
593,2025-05-13,42778,49135,30,0.66
594,2024-12-28,61628,14933,43,1.29
595,2025-08-13,13853,15330,23,5.38
596,2025-06-17,116240,48507,32,0.46
597,2025-02-21,124730,38172,39,0.07
598,2025-02-01,43850,5410,31,0.02
599,2025-03-06,2114,20418,40,0.46
600,2025-04-06,95433,19875,23,4.56
601,2025-07-20,104462,32821,43,0.11
602,2025-09-19,84676,44598,47,1.0
603,2025-03-08,138046,25635,38,2.12
604,2025-07-03,109308,26360,27,1.93
605,2025-01-27,10075,36561,29,1.15
606,2024-11-12,42096,7722,38,0.93
607,2025-08-09,72898,47403,31,0.85
608,2025-08-03,73068,37943,27,3.03
609,2024-11-06,14329,31445,28,0.34
610,2025-02-14,123658,10329,23,1.64
611,2025-09-07,129015,27716,38,3.2
612,2025-05-09,8343,21088,45,0.43
613,2025-01-05,3325,13063,62,9.55
614,2025-07-27,115577,48654,17,0.15
615,2025-06-08,55421,29060,27,1.39
616,2025-01-02,73297,14490,43,0.65
617,2024-12-06,59969,45428,31,1.25
618,2025-05-08,66565,7121,36,1.13
619,2025-04-05,149888,16846,26,0.51
620,2024-12-14,91208,45724,50,1.87
621,2025-03-09,80220,9314,26,0.6
622,2025-03-15,88991,23236,50,0.28
623,2025-02-15,29168,5632,21,0.63
624,2025-05-09,5332,27622,22,2.23
625,2025-02-10,146817,21415,39,1.43
626,2025-06-19,84602,1659,33,0.61
627,2024-11-14,140356,32188,28,1.16
628,2024-12-22,131041,21563,36,1.25
629,2025-03-17,97292,42814,41,2.75
630,2025-09-01,117642,10683,27,0.08
631,2024-12-11,30130,11808,23,2.31
632,2025-08-05,112581,40426,40,4.52
633,2025-06-10,117612,44486,29,0.21
634,2024-12-21,134127,48769,22,1.21
635,2025-04-01,72038,22484,36,1.35
636,2025-03-18,48039,41244,42,1.12
637,2025-05-01,117581,7346,16,0.79
638,2025-04-27,137758,12281,46,0.24
639,2024-12-31,104450,25643,20,7.74
640,2025-04-24,144172,38111,41,0.0
641,2025-01-10,133763,37571,47,1.01
642,2025-09-30,28010,34332,20,0.1
643,2025-10-26,3521,24704,36,0.55
644,2025-09-18,101342,18339,32,0.42
645,2025-03-09,32497,8575,22,4.83
646,2025-04-07,17644,2449,31,1.2
647,2025-06-11,78095,33596,28,0.74
648,2025-02-07,138270,225,14,1.55
649,2025-04-29,48931,9972,40,0.31
650,2025-10-27,69794,11302,44,1.59
651,2025-09-16,104065,42261,33,1.79
652,2025-01-22,107926,32758,43,0.99
653,2025-09-06,138570,8045,29,1.53
654,2025-10-07,113457,35191,43,0.01
655,2025-04-21,94204,31302,48,0.61
656,2025-04-18,34385,17949,38,2.04
657,2025-03-16,30338,14076,37,1.7
658,2025-05-19,6949,6054,29,0.84
659,2025-07-06,89861,32064,40,4.02
660,2025-10-09,49707,33675,40,1.66
661,2025-02-10,97293,27037,37,1.83
662,2025-03-30,146659,14329,28,1.1
663,2025-06-05,126105,34654,14,0.57
